,0-4,5-9,10-12,13-14,15-17,18-19,20-21,22-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
0-4,NA,NA,NA,0.01,0.009,0.012,0.007,0.009,0.032,0.058,0.046,0.028,0.017,0.013,0.027,0.036,0.053,0.049,0.013
5-9,NA,NA,NA,0.014,0.009,0.007,0.005,0.007,0.014,0.014,0.03,0.021,0.02,0.007,0.012,0.033,0.036,0.028,0.018
10-12,NA,NA,NA,0.022,0.012,0,0.004,0.003,0.004,0.007,0.009,0.012,0.008,0.006,0.004,0.006,0.013,0.022,0.009
13-14,0.026,0.038,0.035,0.047,0.029,0.008,0.009,0.012,0.01,0.014,0.031,0.037,0.032,0.036,0.006,0.016,0.016,0.031,0.072
15-17,0.016,0.017,0.014,0.02,0.127,0.027,0.005,0.01,0.027,0.012,0.019,0.017,0.019,0.025,0.008,0.005,0.006,0.014,0.018
18-19,0.031,0.02,0,0.008,0.038,0.247,0.078,0.05,0.061,0.048,0.022,0.039,0.022,0.021,0.021,0.016,0.012,0.008,0.034
20-21,0.018,0.012,0.006,0.008,0.007,0.074,0.177,0.103,0.108,0.045,0.042,0.031,0.03,0.04,0.024,0.015,0.014,0.015,0.031
22-24,0.014,0.012,0.003,0.007,0.008,0.03,0.066,0.159,0.14,0.074,0.037,0.036,0.032,0.05,0.026,0.022,0.015,0.019,0.025
25-29,0.028,0.013,0.002,0.003,0.013,0.021,0.039,0.079,0.196,0.109,0.05,0.042,0.036,0.039,0.049,0.039,0.027,0.025,0.038
30-34,0.052,0.013,0.004,0.005,0.006,0.016,0.016,0.042,0.11,0.186,0.095,0.055,0.046,0.05,0.054,0.05,0.059,0.035,0.026
35-39,0.042,0.028,0.005,0.01,0.009,0.008,0.016,0.021,0.052,0.096,0.122,0.081,0.048,0.041,0.041,0.052,0.048,0.039,0.026
40-44,0.027,0.022,0.007,0.014,0.009,0.015,0.012,0.023,0.048,0.061,0.088,0.095,0.065,0.047,0.039,0.049,0.059,0.052,0.033
45-49,0.015,0.018,0.004,0.01,0.009,0.007,0.011,0.018,0.036,0.046,0.046,0.058,0.064,0.055,0.044,0.03,0.034,0.042,0.048
50-54,0.011,0.006,0.003,0.011,0.012,0.007,0.014,0.027,0.038,0.048,0.038,0.041,0.054,0.081,0.056,0.048,0.053,0.044,0.067
55-59,0.025,0.012,0.002,0.002,0.004,0.007,0.009,0.016,0.052,0.057,0.042,0.037,0.046,0.061,0.091,0.073,0.052,0.049,0.071
60-64,0.039,0.038,0.004,0.006,0.003,0.007,0.007,0.015,0.049,0.062,0.063,0.054,0.037,0.062,0.086,0.11,0.081,0.071,0.09
65-69,0.062,0.044,0.009,0.007,0.004,0.005,0.007,0.011,0.036,0.078,0.062,0.069,0.045,0.073,0.066,0.087,0.123,0.119,0.142
70-74,0.06,0.036,0.016,0.014,0.009,0.004,0.007,0.015,0.034,0.049,0.052,0.064,0.059,0.062,0.064,0.079,0.123,0.11,0.172
75+,0.01,0.013,0.004,0.019,0.007,0.009,0.009,0.011,0.031,0.021,0.02,0.024,0.039,0.056,0.055,0.059,0.087,0.101,0.093