,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Alaska,District of Columbia,Hawaii
Alabama,0,1217,305,1628,1505,1354,1030,529,248,2352,737,701,1041,1016,475,453,1806,958,1448,1163,1466,209,686,2207,1286,2286,1559,1152,1426,1307,607,1785,795,831,2716,1036,1425,449,1523,298,929,1936,1531,746,2874,732,1205,1830,0,0,0
Arizona,1217,0,940,435,645,2953,2698,2245,2080,1036,1747,1947,1543,1059,1965,1437,3312,2604,3035,2224,1761,1624,1466,1296,1128,620,3092,2781,409,2794,2375,1564,2204,1048,1164,2573,3038,2262,1318,1868,944,496,3029,2433,1472,2322,1899,919,0,0,0
Arkansas,305,940,0,1337,1046,1595,1308,971,695,1893,565,672,719,562,585,367,2006,1219,1684,1107,1164,290,342,1765,853,1835,1767,1407,1006,1481,960,1403,887,379,2257,1228,1676,853,1116,458,605,1481,1720,1031,2416,944,994,1375,0,0,0
California,1628,435,1337,0,1049,3475,3248,2887,2697,807,2254,2466,1980,1566,2525,2078,3795,3152,3551,2666,2077,2247,1998,1236,1517,301,3591,3317,1033,3293,2962,1749,2725,1635,674,3096,3561,2866,1598,2452,1593,619,3520,2998,1032,2871,2301,1058,0,0,0
Colorado,1000,429,695,697,0,2427,2209,1999,1739,867,1206,1420,938,529,1497,1227,2748,2112,2502,1627,1116,1318,962,878,492,817,2542,2272,452,2244,1952,944,1678,681,1211,2048,2513,1880,676,1447,861,452,2472,1968,1392,1833,1278,431,0,0,0
Connecticut,900,1962,1060,2309,2427,0,334,1438,1185,3097,1221,1011,1528,1912,1010,1789,466,396,94,923,1660,1522,1489,2772,1991,3237,228,203,2555,246,779,2127,752,1919,3524,381,86,972,2043,1154,2196,2873,252,609,3557,652,1308,2564,0,0,0
Delaware,685,1793,869,2158,2209,334,0,1110,853,2932,1013,797,1359,1683,734,1473,799,97,427,868,1574,1207,1250,2643,1805,3025,556,135,2294,400,445,2031,551,1653,3350,254,396,638,1901,855,1900,2660,556,286,3413,377,1212,2391,0,0,0
Florida,352,1492,645,1918,1999,1438,1110,0,395,2858,1229,1138,1561,1533,889,810,1903,1078,1528,1559,1972,684,1214,2732,1813,2750,1665,1245,1854,1481,688,2310,1133,1319,3207,1230,1486,509,2052,759,1303,2414,1666,886,3382,972,1682,2346,0,0,0
Georgia,165,1382,462,1792,1739,1185,853,395,0,2576,843,743,1189,1237,494,687,1648,795,1279,1170,1587,456,868,2409,1487,2528,1402,983,1673,1176,409,1945,752,1072,2949,910,1248,224,1703,375,1174,2175,1386,583,3096,622,1289,2047,0,0,0
Idaho,1563,689,1258,536,867,3097,2932,2858,2576,0,1924,2137,1575,1340,2270,2094,3342,2835,3159,2204,1510,2175,1742,460,1132,533,3169,2971,1182,2883,2742,1091,2381,1542,435,2734,3181,2695,1061,2255,1705,562,3088,2724,525,2571,1813,543,0,0,0
Illinois,490,1161,375,1497,1206,1221,1013,1229,843,1924,0,216,375,693,384,914,1566,916,1298,549,744,720,295,1666,793,2019,1347,1068,1361,1048,849,1124,472,756,2338,842,1307,861,925,470,1123,1654,1282,803,2415,648,470,1381,0,0,0
Indiana,466,1294,446,1638,1420,1011,797,1138,743,2137,216,0,574,902,249,980,1372,700,1090,467,885,746,482,1868,1008,2234,1146,853,1555,849,666,1301,259,931,2553,630,1096,712,1125,404,1266,1868,1086,596,2626,435,555,1595,0,0,0
Iowa,692,1025,478,1315,938,1528,1359,1561,1189,1575,375,574,0,510,757,1084,1817,1263,1595,689,445,964,380,1294,467,1724,1620,1397,1198,1326,1224,757,808,712,1998,1160,1613,1231,551,816,1127,1364,1546,1170,2054,1009,368,1037,0,0,0
Kansas,675,704,373,1041,529,1912,1683,1533,1237,1340,693,902,510,0,967,837,2255,1586,1990,1170,856,851,434,1206,323,1346,2040,1751,693,1741,1425,932,1161,293,1721,1532,1998,1361,619,923,683,981,1974,1439,1859,1306,877,814,0,0,0
Kentucky,316,1305,389,1677,1497,1010,734,889,494,2270,384,249,757,967,0,823,1425,641,1099,693,1116,565,536,2038,1140,2313,1184,824,1560,903,475,1508,332,919,2672,644,1092,478,1302,183,1188,1948,1140,473,2773,361,800,1727,0,0,0
Louisiana,301,955,244,1380,1227,1789,1473,810,687,2094,914,980,1084,837,823,0,2230,1395,1882,1438,1528,267,709,2031,1155,1946,1984,1589,1045,1716,1060,1739,1153,566,2418,1449,1863,900,1439,649,500,1618,1949,1187,2618,1147,1358,1611,0,0,0
Maine,1200,2201,1333,2521,2748,466,799,1903,1648,3342,1566,1372,1817,2255,1425,2230,0,854,375,1141,1846,1963,1853,2976,2283,3540,247,666,2926,526,1243,2307,1125,2302,3776,782,419,1436,2281,1584,2611,3181,287,1067,3769,1083,1529,2828,0,0,0
Maryland,637,1730,810,2094,2112,396,97,1078,795,2835,916,700,1263,1586,641,1395,854,0,490,790,1486,1128,1153,2549,1708,2928,607,194,2200,405,396,1940,455,1559,3253,196,468,588,1806,768,1813,2562,594,214,3317,282,1123,2294,0,0,0
Massachusetts,962,2016,1119,2359,2502,94,427,1528,1279,3159,1298,1090,1595,1990,1099,1882,375,490,0,971,1707,1614,1570,2826,2060,3310,148,297,2638,282,872,2175,831,2004,3588,463,61,1065,2102,1245,2286,2946,197,703,3614,743,1361,2629,0,0,0
Michigan,773,1478,735,1771,1627,923,868,1559,1170,2204,549,467,689,1170,693,1438,1141,790,971,0,737,1212,835,1857,1149,2404,966,850,1862,690,967,1205,438,1291,2637,619,1003,1081,1143,865,1670,2049,885,814,2646,653,392,1687,0,0,0
Minnesota,974,1170,773,1380,1116,1660,1574,1972,1587,1510,744,885,445,856,1116,1528,1846,1486,1707,737,0,1404,824,1131,641,1791,1693,1575,1481,1426,1547,468,1051,1114,1945,1337,1740,1592,479,1214,1528,1465,1609,1448,1923,1278,362,1033,0,0,0
Mississippi,139,1079,193,1493,1318,1522,1207,684,456,2175,720,746,964,851,565,267,1963,1128,1614,1212,1404,0,587,2055,1143,2087,1717,1322,1219,1451,801,1679,897,639,2529,1183,1596,654,1400,387,723,1742,1682,920,2698,880,1185,1662,0,0,0
Missouri,456,974,227,1328,962,1489,1250,1214,868,1742,295,482,380,434,536,709,1853,1153,1570,835,824,587,0,1543,625,1780,1628,1322,1073,1331,1001,1100,738,461,2139,1108,1574,957,839,517,838,1414,1568,1006,2252,873,662,1202,0,0,0
Montana,1466,861,1172,821,878,2772,2643,2732,2409,460,1666,1868,1294,1206,2038,2031,2976,2549,2826,1857,1131,2055,1543,0,922,941,2821,2666,1301,2546,2511,676,2094,1466,864,2426,2855,2495,744,2057,1730,805,2737,2464,793,2302,1466,447,0,0,0
Nebraska,855,750,567,1008,492,1991,1805,1813,1487,1132,793,1008,467,323,1140,1155,2283,1708,2060,1149,641,1143,625,922,0,1257,2087,1853,842,1792,1614,616,1258,615,1545,1619,2077,1581,300,1141,986,900,2013,1592,1632,1441,788,589,0,0,0
Nevada,1519,412,1219,200,817,3237,3025,2750,2528,533,2019,2234,1724,1346,2313,1946,3540,2928,3310,2404,1791,2087,1780,941,1257,0,3342,3087,916,3046,2765,1451,2491,1456,545,2860,3323,2683,1312,2256,1486,366,3269,2785,869,2651,2031,764,0,0,0
New Hampshire,1036,2054,1174,2386,2542,228,556,1665,1402,3169,1347,1146,1620,2040,1184,1984,247,607,148,966,1693,1717,1628,2821,2087,3342,0,422,2701,299,999,2160,894,2072,3600,540,205,1192,2108,1340,2372,2981,89,820,3612,838,1359,2645,0,0,0
New Jersey,766,1847,935,2204,2272,203,135,1245,983,2971,1068,853,1397,1751,824,1589,666,194,297,850,1575,1322,1322,2666,1853,3087,422,0,2379,286,578,2038,596,1740,3394,240,274,771,1928,960,2004,2721,422,407,3444,463,1215,2434,0,0,0
New Mexico,947,272,668,687,452,2555,2294,1854,1673,1182,1361,1555,1198,693,1560,1045,2926,2200,2638,1862,1481,1219,1073,1301,842,916,2701,2379,0,2404,1966,1381,1809,641,1426,2176,2639,1853,1091,1460,570,634,2641,2026,1681,1919,1564,862,0,0,0
New York,868,1856,984,2188,2244,246,400,1481,1176,2883,1048,849,1326,1741,903,1716,526,405,282,690,1426,1451,1331,2546,1792,3046,299,286,2404,0,794,1894,599,1777,3313,270,318,983,1824,1068,2086,2684,239,599,3334,575,1080,2355,0,0,0
North Carolina,404,1578,638,1968,1952,779,445,688,409,2742,849,666,1224,1425,475,1060,1243,396,872,967,1547,801,1001,2511,1614,2765,999,578,1966,794,0,1965,532,1331,3140,543,840,193,1773,510,1518,2402,989,198,3247,318,1202,2200,0,0,0
North Dakota,1186,1039,932,1162,944,2127,2031,2310,1945,1091,1124,1301,757,932,1508,1739,2307,1940,2175,1205,468,1679,1100,676,616,1451,2160,2038,1381,1894,1965,0,1495,1225,1521,1800,2208,1985,316,1573,1601,1173,2075,1886,1467,1717,823,697,0,0,0
Ohio,528,1464,590,1810,1678,752,551,1133,752,2381,472,259,808,1161,332,1153,1125,455,831,438,1051,897,738,2094,1258,2491,894,596,1809,599,532,1495,0,1179,2801,371,837,644,1351,513,1491,2126,838,400,2862,230,693,1841,0,0,0
Oklahoma,552,696,252,1086,681,1919,1653,1319,1072,1542,756,931,712,293,919,566,2302,1559,2004,1291,1114,639,461,1466,615,1456,2072,1740,641,1777,1331,1225,1179,0,1890,1541,2002,1232,912,822,416,1105,2016,1385,2067,1278,1065,1047,0,0,0
Oregon,1805,774,1499,448,1211,3524,3350,3207,2949,435,2338,2553,1998,1721,2672,2418,3776,3253,3588,2637,1945,2529,2139,864,1545,545,3600,3394,1426,3313,3140,1521,2801,1890,0,3158,3609,3082,1494,2644,1986,803,3521,3133,360,2985,2246,960,0,0,0
Pennsylvania,689,1709,816,2057,2048,381,254,1230,910,2734,842,630,1160,1532,644,1449,782,196,463,619,1337,1183,1108,2426,1619,2860,540,240,2176,270,543,1800,371,1541,3158,0,466,725,1689,802,1832,2495,500,344,3205,305,977,2198,0,0,0
Rhode Island,946,2018,1113,2366,2513,86,396,1486,1248,3181,1307,1096,1613,1998,1092,1863,419,468,61,1003,1740,1596,1574,2855,2077,3323,205,274,2639,318,840,2208,837,2002,3609,466,0,1031,2127,1232,2275,2958,258,679,3640,732,1390,2649,0,0,0
South Carolina,298,1503,567,1904,1880,972,638,509,224,2695,861,712,1231,1361,478,900,1436,588,1065,1081,1592,654,957,2495,1581,2683,1192,771,1853,983,193,1985,644,1232,3082,725,1031,0,1769,441,1376,2324,1182,384,3208,465,1265,2158,0,0,0
South Dakota,1012,875,741,1062,676,2043,1901,2052,1703,1061,925,1125,551,619,1302,1439,2281,1806,2102,1143,479,1400,839,744,300,1312,2108,1928,1091,1824,1773,316,1351,912,1494,1689,2127,1769,0,1339,1285,988,2027,1721,1516,1558,752,558,0,0,0
Tennessee,198,1241,304,1629,1447,1154,855,759,375,2255,470,404,816,923,183,649,1584,768,1245,865,1214,387,517,2057,1141,2256,1340,960,1460,1068,510,1573,513,822,2644,802,1232,441,1339,0,1045,1895,1302,574,2767,503,926,1717,0,0,0
Texas,618,627,402,1058,861,2196,1900,1303,1174,1705,1123,1266,1127,683,1188,500,2611,1813,2286,1670,1528,723,838,1730,986,1486,2372,2004,570,2086,1518,1601,1491,416,1986,1832,2275,1376,1285,1045,0,1185,2325,1617,2221,1543,1475,1286,0,0,0
Utah,1286,329,984,411,452,2873,2660,2414,2175,562,1654,1868,1364,981,1948,1618,3181,2562,2946,2049,1465,1742,1414,805,900,366,2981,2721,634,2684,2402,1173,2126,1105,803,2495,2958,2324,988,1895,1185,0,2908,2420,1048,2285,1682,480,0,0,0
Vermont,1017,2013,1143,2339,2472,252,556,1666,1386,3088,1282,1086,1546,1974,1140,1949,287,594,197,885,1609,1682,1568,2737,2013,3269,89,422,2641,239,989,2075,838,2016,3521,500,258,1182,2027,1302,2325,2908,0,803,3528,803,1277,2567,0,0,0
Virginia,495,1616,685,1992,1968,609,286,886,583,2724,803,596,1170,1439,473,1187,1067,214,703,814,1448,920,1006,2464,1592,2785,820,407,2026,599,198,1886,400,1385,3133,344,679,384,1721,574,1617,2420,803,0,3218,171,1092,2181,0,0,0
Washington,1909,978,1605,686,1392,3557,3413,3382,3096,525,2415,2626,2054,1859,2773,2618,3769,3317,3614,2646,1923,2698,2252,793,1632,869,3612,3444,1681,3334,3247,1467,2862,2067,360,3205,3640,3208,1516,2767,2221,1048,3528,3218,0,3061,2254,1050,0,0,0
West Virginia,486,1543,627,1908,1833,652,377,972,622,2571,648,435,1009,1306,361,1147,1083,282,743,653,1278,880,873,2302,1441,2651,838,463,1919,575,318,1717,230,1278,2985,305,732,465,1558,503,1543,2285,803,171,3061,0,921,2029,0,0,0
Wisconsin,800,1262,661,1529,1278,1308,1212,1682,1289,1813,470,555,368,877,800,1358,1529,1123,1361,392,362,1185,662,1466,788,2031,1359,1215,1564,1080,1202,823,693,1065,2246,977,1390,1265,752,926,1475,1682,1277,1092,2254,921,0,1301,0,0,0
Wyoming,1216,610,914,703,431,2564,2391,2346,2047,543,1381,1595,1037,814,1727,1611,2828,2294,2629,1687,1033,1662,1202,447,589,764,2645,2434,862,2355,2200,697,1841,1047,960,2198,2649,2158,558,1717,1286,480,2567,2181,1050,2029,1301,0,0,0,0
Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
District of Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0