,kernel,likelihood,mle,model,n_inducing_points,out_sample,run_time,test_dates,test_size,train_dates,train_size,var_out_sample,var_within_sample,week_1,week_2,week_3,within_sample,
1,Matern32,Gaussian,108.77,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t), Weekday(t))$",15,0.0353,68.54188475,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0244,0.0091,0.0424,0.038,0.0254,-0.001,0.0353
2,Matern32,Gaussian,115.22,$f(t)$,15,-0.0369,61.19989845,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0956,0.0081,-0.0466,-0.0204,-0.0436,-0.0002,0.0369
3,Sum,Gaussian,99.55,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p$",15,0.0546,74.12511582,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0354,0.012,0.2176,0.1023,-0.1562,0.0008,0.0546
4,Matern32,Gaussian,111.84,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p)$",15,0.0571,63.24071141,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0312,0.0087,-0.0271,0.0352,0.1633,-0.0011,0.0571
5,Product,Gaussian,120.65,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t), Weekday(t))$",15,-0.0621,85.52112284,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0131,0.0076,0.079,-0.0212,-0.2441,0.0015,0.0621
6,Sum,Gaussian,172.37,$f(S(t)+I(t))$,15,0.0953,86.35302848,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0071,0.0037,0.0342,0.1301,0.1215,0,0.0953
7,Matern32,Gaussian,147.06,"$f(t, S(t)^p, I(t)^p)$",15,0.0966,79.86616183,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0694,0.0051,-0.0885,0.0746,0.3038,-0.0004,0.0966
8,Matern32,Gaussian,133.65,"$f(t, I(t), Home(t))$",15,-0.0979,68.79054743,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0114,0.0065,-0.0072,-0.071,-0.2155,-0.0003,0.0979
9,Matern32,Gaussian,133.65,"$f(t, S(t)*I(t), Home(t))$",15,-0.0988,62.21855635,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0114,0.0065,-0.0078,-0.0719,-0.2166,-0.0003,0.0988
10,Product,Gaussian,101.45,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t), Weekday(t))$",15,-0.0992,85.63671048,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0707,0.0126,-0.0233,-0.0979,-0.1762,0.005,0.0992
11,Sum,Gaussian,172.38,$f(S(t)*I(t))$,15,0.1004,86.1026561,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0072,0.0037,0.0393,0.1355,0.1265,0,0.1004
12,Matern32,Gaussian,138.89,$f(S(t)+I(t))$,15,-0.1073,70.61207126,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0097,0.0059,0.0428,-0.0799,-0.2849,-0.0001,0.1073
13,Matern32,Gaussian,138.91,$f(S(t)*I(t))$,15,-0.1109,68.25466277,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0097,0.0059,0.0406,-0.0835,-0.2898,-0.0001,0.1109
14,Matern32,Gaussian,128.63,"$f(t, S(t)*I(t), Home(t), Work(t), Recreational(t))$",15,-0.1142,76.41661862,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0245,0.0068,-0.083,-0.1167,-0.1428,-0.0006,0.1142
15,Matern32,Gaussian,110.49,"$f(t, I(t), Home(t), Weekday(t))$",15,0.1167,67.8584498,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0124,0.0092,0.1494,0.147,0.0536,-0.0005,0.1167
16,Matern32,Gaussian,145.39,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t))$",15,-0.1175,77.15438732,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0114,0.0054,-0.0323,-0.093,-0.2272,-0.0002,0.1175
17,Matern32,Gaussian,110.5,"$f(t, S(t)*I(t), Home(t), Weekday(t))$",15,0.1176,73.96874473,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0124,0.0092,0.15,0.1479,0.0547,-0.0005,0.1176
18,Product,Gaussian,-30.45,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p$",15,-0.1635,86.8787452,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.7762,0.18,-0.1488,-0.1926,-0.149,0.0158,0.1635
19,Matern32,Gaussian,115.24,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t), Weekday(t))$",15,0.166,77.09500821,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0118,0.0086,0.1885,0.1975,0.112,-0.0006,0.166
20,Matern32,Gaussian,150.1,"$f(t, S(t)+I(t))$",15,-0.194,78.29469323,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0166,0.0052,-0.0895,-0.169,-0.3235,-0.0001,0.194
21,Matern32,Gaussian,150.09,"$f(t, S(t)*I(t))$",15,-0.1946,80.95120571,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0165,0.0052,-0.0899,-0.1697,-0.3243,-0.0001,0.1946
22,Matern32,Gaussian,154.21,"$f(t, S(t), I(t))$",15,-0.2192,77.39134066,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0511,0.0047,-0.169,-0.2194,-0.2692,-0.0001,0.2192
23,Sum,Gaussian,128.67,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t), Weekday(t))$",15,-0.2995,76.57848452,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0116,0.007,-0.0807,-0.2635,-0.5542,0.0002,0.2995
24,Product,Gaussian,124.9,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t)$",15,-0.3398,89.04215047,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0633,0.0084,-0.1622,-0.3349,-0.5225,0.0043,0.3398
25,Sum,Gaussian,127.39,"$f(t, S(t)*I(t), Home(t), Weekday(t))$",15,-0.3451,76.08879451,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0111,0.0071,-0.1134,-0.3105,-0.6116,0.0003,0.3451
26,Sum,Gaussian,127.39,"$f(t, I(t), Home(t), Weekday(t))$",15,-0.3465,86.97732546,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0111,0.0071,-0.1141,-0.3118,-0.6135,0.0003,0.3465
27,Matern32,Gaussian,142.33,"$f(S(t), I(t))$",15,0.3491,69.76048937,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.2066,0.0057,0.0613,0.34,0.6459,-0.0001,0.3491
28,Product,Gaussian,116.45,"$f(t, S(t)*I(t), Home(t), Weekday(t))$",15,-0.3635,88.4419455,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.015,0.0078,-0.0923,-0.3149,-0.6834,0.0016,0.3635
29,Product,Gaussian,116.45,"$f(t, I(t), Home(t), Weekday(t))$",15,-0.3643,93.34632466,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.015,0.0078,-0.0927,-0.3157,-0.6845,0.0016,0.3643
30,Product,Gaussian,151.55,"$f(t, S(t), I(t))$",15,-0.3705,90.50018078,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.1773,0.0053,-0.1966,-0.3488,-0.5662,0.0008,0.3705
31,Product,Gaussian,152.46,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t)$",15,-0.4069,87.3227962,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0121,0.005,-0.146,-0.3672,-0.7076,0.0011,0.4069
32,Product,Gaussian,187.47,"$f(t, S(t)*I(t))$",15,-0.4148,87.31276496,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.031,0.0044,-0.1996,-0.3764,-0.6683,0.0008,0.4148
33,Product,Gaussian,188.57,"$f(t, S(t)+I(t))$",15,-0.4365,89.36924976,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0284,0.0041,-0.2136,-0.3986,-0.6974,0.0008,0.4365
34,Sum,Gaussian,143.54,"$f(t, S(t)*I(t), Home(t))$",15,-0.4385,78.76596659,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.01,0.0058,-0.1632,-0.4014,-0.751,0.0002,0.4385
35,Sum,Gaussian,143.63,"$f(t, I(t), Home(t))$",15,-0.4388,85.34793702,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.01,0.0057,-0.1635,-0.4018,-0.7511,0.0002,0.4388
36,Sum,Gaussian,152.52,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t)$",15,-0.4757,76.68053472,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0092,0.0051,-0.1823,-0.4374,-0.8074,0.0001,0.4757
37,Sum,Gaussian,116.19,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t), Weekday(t))$",15,-0.4816,74.81375105,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0309,0.008,-0.1823,-0.461,-0.8015,0.0004,0.4816
38,Sum,Gaussian,140.07,"$f(t, S(t)+I(t))$",15,-0.489,86.47277712,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0107,0.0065,-0.1837,-0.447,-0.8361,0.0001,0.489
39,Sum,Gaussian,140.07,"$f(t, S(t)*I(t))$",15,-0.4892,86.34598217,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0107,0.0065,-0.1839,-0.4473,-0.8365,0.0001,0.4892
40,Product,Gaussian,133.29,"$f(t, S(t)*I(t), Home(t))$",15,-0.5111,87.43935533,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.012,0.0064,-0.1784,-0.4601,-0.8947,0.0011,0.5111
41,Product,Gaussian,133.49,"$f(t, I(t), Home(t))$",15,-0.5137,87.72877221,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0122,0.0064,-0.1806,-0.4631,-0.8976,0.0011,0.5137
42,Product,Gaussian,100.37,"$f(S(t)I(t), WKD(t), HOME(t), WORK(t), RCR(t))$",15,0.5818,78.6394224,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0091,0.0101,0.5279,0.6187,0.5988,0.001,0.5818
43,Product,Gaussian,107.21,"$f(S(t)I(t), WKD(t), WORK(t), RCR(t))$",15,0.636,104.6107543,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0081,0.009,0.5779,0.6683,0.6617,0.0007,0.636
44,Product,Gaussian,-0.76,$f(t)$,15,0.66,87.50919926,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,2.191,0.0424,0.1584,0.6097,1.2117,0.1743,0.66
45,Product,Gaussian,100.39,"$f(S(t)I(t), WKD(t), HOME(t))$",15,0.6803,100.1587618,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0104,0.0103,0.6059,0.719,0.716,0.0024,0.6803
46,Sum,Gaussian,134.15,"$f(t, S(t)^p, I(t)^p)$",15,-0.6905,86.07149112,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0767,0.0068,-0.354,-0.6955,-1.0219,0.0002,0.6905
47,Product,Gaussian,145.41,"$f(S(t), I(t))$",15,-0.6986,87.4819034,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.2569,0.006,-0.3959,-0.7117,-0.9881,0.0007,0.6986
48,Sum,Gaussian,137.76,"$f(t, S(t), I(t))$",15,-0.7117,86.19964099,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0245,0.0066,-0.3159,-0.6791,-1.1403,0.0001,0.7117
49,Sum,Gaussian,140.62,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t)$",15,-0.7142,75.85736158,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0308,0.0062,-0.2919,-0.6738,-1.1768,0.0001,0.7142
50,Sum,Gaussian,150.27,$f(t)$,15,-0.8049,85.47062735,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.1213,0.0044,-0.3246,-0.7503,-1.3397,-0.0001,0.8049
51,Product,Gaussian,-50.92,"$f(WKD(t), HOME(t), WORK(t), RCR(t))$",15,0.8632,93.93614401,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0801,0.0931,0.7353,0.9077,0.9465,0.0022,0.8632
52,Product,Gaussian,41.91,$f(S(t)+I(t))$,15,0.9766,88.28165751,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0296,0.0285,0.7901,1.0131,1.1265,0.143,0.9766
53,Product,Gaussian,41.87,$f(S(t)*I(t))$,15,0.9768,88.98736364,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0296,0.0285,0.7902,1.0133,1.127,0.143,0.9768
54,Product,Gaussian,140.93,"$f(t, S(t)^p, I(t)^p)$",15,1.3777,86.14192165,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.9097,0.0069,0.2366,1.324,2.5724,0.0008,1.3777
55,Sum,Gaussian,134.42,"$f(S(t), I(t))$",15,-1.3862,86.03066239,2020-07-07 to 2020-07-27,21,2020-02-15 to 2020-07-06,143,0.0844,0.0072,-0.5816,-1.3799,-2.1971,0,1.3862
