,model,likelihood,kernel,mle,train_dates,test_dates,train_size,test_size,n_inducing_points,run_time,var_within_sample,var_out_sample,within_sample,out_sample,week_1,week_2,week_3,
1,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t)$",Gaussian,Sum,-1108.49,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,175.3302031,0.1448,0.133,0.0011,-0.0307,-0.2121,-0.1439,-0.0236,0.0307
2,"$f(t, S(t)*I(t))$",Gaussian,Sum,-1176.15,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,175.672041,0.1548,0.1446,0.0008,-0.0363,0.0013,-0.5621,-0.0245,0.0363
3,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t))$",Gaussian,Matern32,-1658.97,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,123.778887,0.2394,0.2287,0.0046,-0.0443,0.0533,-0.1294,-0.0446,0.0443
4,"$f(t, I(t), Home(t))$",Gaussian,Sum,-594.77,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,175.5090453,0.0981,0.0936,-0.0004,-0.0561,-0.0668,-0.17,-0.053,0.0561
5,"$f(t, I(t), Home(t))$",Gaussian,Matern32,-940.47,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,123.5842923,0.128,0.115,0.0076,0.0634,-0.0739,-0.2408,0.074,0.0634
6,"$f(t, S(t)*I(t), Home(t)*Work(t)*Recreational(t)$",Gaussian,Product,-1503.98,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,184.8522827,0.2071,0.1768,0.0721,0.1269,-0.0695,-0.1289,0.1378,0.1269
7,"$f(t, S(t)*I(t), Home(t))$",Gaussian,Matern32,-1813.67,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,123.3854806,0.2767,0.2658,0.0103,0.1457,-0.0559,-0.2113,0.1592,0.1457
8,"$f(t, S(t)^p, I(t)^p)$",Gaussian,Sum,-513.21,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,176.029789,0.0895,0.086,0.0005,0.1757,0.2337,-0.132,0.1817,0.1757
9,$f(t)$,Gaussian,Product,-2411.46,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,176.0225768,0.4711,0.471,0.0623,-0.1927,-0.0214,-0.2878,-0.1945,0.1927
10,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t)$",Gaussian,Sum,-318.62,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,175.905901,0.0734,0.0647,-0.0007,0.2295,0.1312,0.0363,0.2366,0.2295
11,"$f(t, S(t)^p, I(t)^p)$",Gaussian,Matern32,-1102.5,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,127.9212072,0.1473,0.1294,0.0085,0.2507,0.3697,-0.2957,0.261,0.2507
12,$f(t)$,Gaussian,Sum,-2402.86,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,181.4043107,0.4665,0.4664,-0.0001,-0.2561,0.0068,-0.3428,-0.2604,0.2561
13,$f(t)$,Gaussian,Matern32,-2405.22,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,128.1086464,0.468,0.4679,-0.0003,-0.2568,-0.0271,-0.3662,-0.2597,0.2568
14,$f(S(t)*I(t))$,Gaussian,Matern32,-2199.21,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,128.9755283,0.3892,0.3515,0.1766,-0.2611,-2.1948,-2.0961,-0.1702,0.2611
15,$f(S(t)+I(t))$,Gaussian,Matern32,-2902.44,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,128.6550866,0.7239,0.7233,0.0006,0.2745,-4.2493,-4.1503,0.4904,0.2745
16,"$f(S(t), I(t))$",Gaussian,Sum,-1057.18,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,177.2774146,0.1436,0.1389,-0.0006,0.3119,-0.7938,-0.6969,0.3629,0.3119
17,"$f(t, S(t)*I(t), Home(t), Work(t), Recreational(t))$",Gaussian,Matern32,-436.15,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,124.0370989,0.0813,0.0729,-0.0007,0.3186,-0.0596,-0.0488,0.3366,0.3186
18,"$f(t, S(t)*I(t), Home(t))$",Gaussian,Sum,-1144.1,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,175.9318314,0.1561,0.1517,0.0024,0.3206,-0.1679,-0.2194,0.3455,0.3206
19,"$f(t, S(t)*I(t), Home(t))$",Gaussian,Product,-1456.07,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,184.25951,0.2082,0.177,0.0958,0.3333,-0.0899,-0.1568,0.3553,0.3333
20,"$f(t, S(t)+I(t))$",Gaussian,Sum,-1088.03,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,175.1119467,0.1477,0.144,-0.0003,0.3418,0.2009,-0.2587,0.3597,0.3418
21,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p)$",Gaussian,Matern32,-528.73,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,124.6480935,0.0881,0.0767,-0.0004,0.3475,-0.0508,-0.0107,0.3658,0.3475
22,"$f(t, S(t)*I(t))$",Gaussian,Product,-1973.47,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,183.6940798,0.3155,0.3108,0.1324,0.3772,0.0613,-0.4539,0.4049,0.3772
23,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p$",Gaussian,Product,-1210.33,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,185.7362439,0.306,0.285,0.002,0.3924,0.1299,0.02,0.4077,0.3924
24,"$f(S(t), I(t))$",Gaussian,Matern32,-2052.17,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,127.242101,0.3406,0.3076,0.0101,-0.3986,-2.8633,-2.7645,-0.282,0.3986
25,"$f(S(t)I(t), WKD(t), HOME(t), WORK(t), RCR(t))$",Gaussian,Product,-1757.31,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,181.2142799,0.2625,0.2421,0.0139,0.4178,-0.0286,0.1449,0.4352,0.4178
26,"$f(t, S(t), I(t), Home(t), Work(t), Recreational(t)$",Gaussian,Product,-701.84,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,184.5067598,0.1033,0.0924,0.0448,0.4203,0.1773,-0.0476,0.4375,0.4203
27,"$f(t, S(t)+I(t))$",Gaussian,Matern32,-1183.72,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,126.5716411,0.1599,0.1541,-0.0006,0.4381,0.4059,-0.3061,0.4568,0.4381
28,$f(S(t)+I(t))$,Gaussian,Sum,-2916.99,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,174.7576984,0.734,0.732,-0.0015,0.451,-4.0347,-3.9357,0.6651,0.451
29,"$f(t, S(t)^p, I(t)^p, Home(t)^p, Work(t)^p, Recreational(t)^p$",Gaussian,Sum,-807.62,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,177.3128354,0.121,0.1147,0.0002,0.4561,0.0707,-0.0224,0.4769,0.4561
30,"$f(t, S(t), I(t))$",Gaussian,Sum,-1066.59,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,176.2871838,0.1448,0.1379,-0.0009,0.4697,0.2683,-0.25,0.4919,0.4697
31,"$f(t, S(t), I(t))$",Gaussian,Matern32,-1076.54,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,129.2365585,0.145,0.1349,0.0005,0.4771,0.4626,-0.2795,0.4957,0.4771
32,"$f(t, I(t), Home(t))$",Gaussian,Product,-1407.73,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,184.2249404,0.1926,0.1848,0.0762,0.5069,-0.0139,-0.2359,0.5374,0.5069
33,"$f(t, S(t)+I(t))$",Gaussian,Product,-1463.15,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,183.9610908,0.2032,0.1941,0.1461,0.5458,0.1257,-0.2215,0.5744,0.5458
34,"$f(S(t), I(t))$",Gaussian,Product,-2029.35,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,177.1135595,0.3318,0.278,0.3563,0.5578,-1.2031,-1.1042,0.6404,0.5578
35,"$f(t, S(t)^p, I(t)^p)$",Gaussian,Product,-1277.25,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,184.4355323,0.1699,0.158,0.0133,0.5586,0.4628,-0.4099,0.5843,0.5586
36,"$f(t, S(t), I(t))$",Gaussian,Product,-1438.09,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,184.2440291,0.1988,0.1872,0.1554,0.6242,0.2161,-0.141,0.6525,0.6242
37,$f(S(t)*I(t))$,Gaussian,Product,-2924.25,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,176.1991616,0.7455,0.7266,0.3362,0.6331,-3.7634,-3.6644,0.8429,0.6331
38,"$f(t, S(t)*I(t))$",Gaussian,Matern32,-1558.15,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,127.5321776,0.2215,0.2034,0.0065,0.6568,0.0004,-0.6041,0.7031,0.6568
39,$f(S(t)+I(t))$,Gaussian,Product,-2990.99,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,176.46335,0.7871,0.7861,0.325,0.7381,-3.7184,-3.6194,0.9508,0.7381
40,$f(S(t)*I(t))$,Gaussian,Sum,-2466.66,2020-02-21 to 2020-07-27,2020-02-26 to 2020-07-27,2298,304,15,176.840963,0.5476,0.5298,0.0009,0.8632,-3.2713,-3.1723,1.0604,0.8632